month,day,store,drink,toppings,drink name,friends,cost,size,rating
january,1,cafe bakery & restaurant,hong kong milk tea,,,"sophia, mom, dad, waipo",$4.75,16oz,8/10
january,2,1011 sip tea,lychee black milk tea,boba,,"sophia, waipo",$5.50,16oz,7/10
january,3,mr sun tea,earl grey milk tea,"boba, pudding, grass jelly",three brothers milk tea,emily,$4.00,22oz,8.5/10
january,5,mandro teahouse,jasmine green milk tea,pudding,,"emily, jas",$5.00,22oz,8.5/10
january,7,teaspoon,jasmine green milk tea,boba,creamy jasmine,jeff,$6.75,22oz,9/10
january,7,coco,green tea yakult,,,jeff,$7.50,22oz,7.5/10
january,12,coco,green tea yakult,,,jeff,$6.25,22oz,8/10
january,13,tptea,blended strawberry milk tea,boba,,anthony,$7.40,22oz,8/10
january,15,caffe:in,early grey milk tea,pudding,,brian,$6.70,22oz,7.5/10
january,16,tptea,blended strawberry milk tea,,,anthony,$6.75,22oz,8.5/10
january,18,mandro teahouse,hokkaido milk tea,"boba, pudding",,emily,$5.50,22oz,6.5/10
january,21,moge tee,milk tea,boba,,denis,$6.95,22oz,8.5/10
january,25,heytea,mango coconut smoothie,"sago, coconut pudding, mango pudding",coconut mango boom,"denis, jaclyn",$6.99,16oz,9/10
january,25,kong sikh tong,hong kong milk tea,,,andrew,$4.75,12oz,10/10
january,27,heytea,matcha jasmine latte,matcha foam,,"jing, denis",$7.99,16oz,10/10
january,28,heytea,strawberry green tea slush,agar boba,strawberry boom,denis,$6.49,16oz,10/10
january,28,heytea,milk tea, boba,bobo milk tea,denis,$6.49,16oz,10/10
january,29,heytea,mango coconut smoothie,"sago, coconut pudding, mango pudding",coconut mango boom,jing,$6.49,16oz,10/10
january,30,the plug,lavender chai latte,,,"lynn, maya, farizah",$6.50,20oz,9/10
january,30,heytea,mango coconut smoothie,"sago, coconut pudding, mango pudding",coconut mango boom,"denis, jaclyn",$6.49,16oz,10/10
january,30,heytea,matcha smoothie,"boba, cheese foam",matcha bobo shake,"denis, jaclyn",$7.49,16oz,9.5/10
february,3,heytea,mango smoothie,"cheese foam, mango chunks",cloud mango,"denis, jaclyn, lisa",$6.99,16oz,9.5/10
february,4,heytea,mango coconut smoothie,"sago, coconut pudding, mango pudding",coconut mango boom,anson,$6.49,16oz,9/10
february,6,gong cha,strawberry milk tea,"pudding, strawberry jam, cheese foam", strawberry cheesecake milk tea,denis,$8.25,22oz,7/10
february,8,double crisp bakery,hong kong milk tea,,,andrew,$2.50,12oz,6/10
february,8,chicha san chen,milk tea,boba,,andrew,$8.75,16oz,6/10
february,9,molly tea,jasmine milk tea,, premium jasmine milk tea,"jaclyn, lisa, denis",$6.99,16oz,10/10
february,10,moge tee,strawberry green tea slush,cheese foam,cheese foam strawberry,denis,$7.75,22oz,9.5/10
february,13,hey tea,spirulina coconut milk,"coconut jelly, matcha cheese foam",cloud coconut blue,denis,$7.99,16oz,10/10
february,13,hey tea,spirulina coconut milk,"coconut jelly, matcha cheese foam",cloud coconut blue,denis,$0,16oz,10/10
february,14,chicha san chen,oolong tea latte,boba,,lloyd,$8.75,16oz,7/10
february,15,heytea,jasmine matcha latte,matcha foam,,lloyd,$7.99,16oz,10/10
february,15,heytea,mango coconut smoothie,"sago, coconut pudding, mango pudding",coconut mango boom,lloyd,$7.49,22oz,10/10
february,15,heytea,grapefruit slushie,ruby grapefruit slices,grapefruit boom,lloyd,$6.99,16oz,10/10
february,15,heytea,passion fruit green tea,"lemon slices, agar boba",passion fruit blast,lloyd,$5.99,22oz,8.5/10
february,15,nana’s green tea,matcha latte,clear jelly,,lloyd,$7.50,16oz,8/10
february,15,tbaar,thai iced tea,,,lloyd,$5.25,12oz,7.5/10
february,16,molly tea,jasmine milk tea,,premium jasmine milk tea,lloyd,$6.99,16oz,10/10
february,16,molly tea,jasmine milk tea,,premium jasmine milk tea,lloyd,$6.99,16oz,10/10
february,16,molly tea,peach oolong milk tea,,,lloyd,$6.59,16oz,10/10
february,16,molly tea,mango green tea smoothie,"agar boba, sago, mango chunks, pomelo, coconut milk",jasmine mango smoothie,lloyd,$6.99,16oz,10/10
february,24,heytea,gardenia milk tea,pecan foam cloud,gardenia 3,"denis, jing, sara",$8.50,16oz,8.5/10
february,24,heytea,matcha coconut milk,foam cloud,matcha 6,"denis, jing, sara",$8.90,16oz,7.5/10
february,24,heytea,matcha snow ice,"viennese style cloud, chopped pistachios",matcha 0,"denis, jing, sara",$7.90,16oz,10/10
february,28,heytea,strawberry green tea slush,agar boba,strawberry boom,,$6.49,16oz,9.5/10
march,2,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,andrew,$6.99,16oz,10/10
